Status pozycji,Portfel,Typ,Symbol,Sektor,Okres inwestycji,Ostatni zakup,Ilość,Obecna wartość,Wartość zakupu,Zysk/Strata,ROI
Otwarta,PPK,PPK,PPK,,,,"0,000000","7 747,45 zł","3 335,73 zł","4 411,72 zł","132,26%"
Otwarta,IKE,ETF,NDIA.L,IE00BZCQB185,414,2025-07-09,"35,794600","1 292,51 zł","1 371,84 zł","-79,33 zł","-5,78%"
Zamknięta,IKE,ETF,IWQU.L,IE00BP3QZ601,122,2025-02-03,"0,000000","953,97 zł","929,13 zł","24,84 zł","2,67%"
Otwarta,IKE,ETF,IUIT.L,IE00B3WJKG14,414,2025-07-09,"10,792800","1 597,81 zł","1 372,00 zł","225,81 zł","16,46%"
Otwarta,IKE,ETF,NUKL.DE,IE000M7V94E1,380,2025-07-09,"8,851500","1 635,82 zł","1 181,43 zł","454,39 zł","38,46%"
Otwarta,IKE,ETF,ETFBS80TR,PLBSWTR00014,414,2025-07-11,"3,674600","1 643,83 zł","1 372,02 zł","271,81 zł","19,81%"
Otwarta,IKE,Akcje,AMZN,US0231351067,410,2025-07-08,"1,338500","1 087,30 zł","1 047,22 zł","40,08 zł","3,83%"
Otwarta,IKE,Akcje,CRWD,US22788C1053,410,2025-07-08,"0,649400","1 172,87 zł","847,70 zł","325,17 zł","38,36%"
Otwarta,IKE,Akcje,MSFT,US5949181045,414,2025-07-08,"0,549900","955,62 zł","900,70 zł","54,92 zł","6,10%"
Otwarta,IKE,Akcje,PLW,PLPLAYW00015,344,2025-07-18,"3,499300","922,07 zł","939,48 zł","-17,41 zł","-1,85%"
Otwarta,IKE,Akcje,SFD,PLSFD0000013,10,2025-11-17,"266,000000","771,40 zł","789,80 zł","-18,40 zł","-2,33%"
Otwarta,IKE,Akcje,CDR,PLOPTTC00011,414,2025-05-06,"5,063600","1 155,51 zł","902,36 zł","253,15 zł","28,05%"
Otwarta,IKE,Akcje,LPP,Consumer Discretionary,414,2025-07-04,"0,049500","792,00 zł","796,57 zł","-4,57 zł","1,48%"
Otwarta,IKE,Akcje,KRU,Financials,410,2025-07-04,"2,327700","1 065,85 zł","980,71 zł","85,14 zł","8,68%"
Otwarta,IKE,Akcje,ABS,Information Technology,414,2025-07-15,"13,000000","1 068,60 zł","892,80 zł","175,80 zł","24,28%"
Otwarta,IKE,Akcje,KLE,Consumer Discretionary,170,2025-07-04,"135,000000","1 039,50 zł","939,36 zł","100,14 zł","10,66%"
Otwarta,IKE,Akcje,KTY,Materials,414,2025-07-04,"0,913800","831,10 zł","717,87 zł","113,23 zł","15,77%"
Otwarta,IKE,Akcje,ACN,Information Technology,410,2025-07-10,"0,763400","707,69 zł","985,17 zł","-277,48 zł","-27,89%"
Otwarta,IKE,Akcje,FAST,Industrials,226,2025-05-06,"4,606400","676,69 zł","702,43 zł","-25,74 zł","-3,23%"
Otwarta,IKE,Akcje,GAW,Consumer Discretionary,410,2025-07-04,"1,447000","1 302,56 zł","965,50 zł","337,06 zł","37,63%"
Otwarta,IKE,Akcje,ROL,Industrials,410,2025-07-08,"3,821100","848,25 zł","776,09 zł","72,16 zł","9,81%"
Otwarta,IKE,Akcje,FRO,Industrials,284,2025-06-05,"20,000000","580,00 zł","714,00 zł","-134,00 zł","-18,77%"
Otwarta,Krypto,Krypto,POL,,717,2024-10-04,"587,863288","286,92 zł","1 033,13 zł","-746,21 zł","-72,23%"
Otwarta,Krypto,Krypto,ETH,,995,2024-10-04,"0,098388","999,16 zł","956,50 zł","42,66 zł","4,46%"
Otwarta,Krypto,Krypto,NEAR,,932,2024-10-04,"46,609531","310,53 zł","560,28 zł","-249,76 zł","-44,58%"
Otwarta,Krypto,Krypto,USDC,,365,2025-07-14,"597,210000","2 198,24 zł","2 201,14 zł","-2,90 zł","-0,13%"
Zamknięta,Krypto,Krypto,BTC,,995,2025-07-14,"0,000000","1 250,48 zł","559,43 zł","691,05 zł","123,53%"
Otwarta,Krypto,Krypto,LINK,,995,2024-10-04,"7,702423","340,78 zł","317,51 zł","23,28 zł","7,33%"
Otwarta,Krypto,Krypto,ADA,,717,2024-10-04,"154,484132","229,28 zł","240,75 zł","-11,47 zł","-4,76%"
Otwarta,Krypto,Krypto,SKL,,717,2024-10-04,"1810,171347","89,62 zł","320,47 zł","-230,85 zł","-72,04%"
Otwarta,Krypto,Krypto,MINA,,962,2024-10-04,"147,486875","57,60 zł","321,76 zł","-264,16 zł","-82,10%"
Otwarta,Krypto,Krypto,AVAX,,717,2024-10-04,"2,263693","110,15 zł","240,75 zł","-130,59 zł","-54,25%"
Otwarta,Krypto,Krypto,API3,,932,2024-10-04,"46,192216","89,81 zł","292,51 zł","-202,70 zł","-69,30%"
Otwarta,Krypto,Krypto,SOL,,717,2024-10-04,"0,482595","224,37 zł","240,75 zł","-16,38 zł","-6,80%"
Otwarta,Krypto,Krypto,EGLD,,717,2024-10-04,"1,856596","50,43 zł","240,75 zł","-190,31 zł","-79,05%"
Otwarta,Krypto,Krypto,RUNE,,717,2024-10-04,"14,368513","31,81 zł","240,75 zł","-208,94 zł","-86,79%"
Otwarta,Krypto,Krypto,OP,,717,2024-10-04,"35,948933","39,64 zł","240,75 zł","-201,10 zł","-83,53%"
Otwarta,Krypto,Krypto,ARB,,717,2024-10-04,"83,115638","60,73 zł","240,75 zł","-180,02 zł","-74,78%"
Otwarta,Krypto,Krypto,MAGIC,,962,2024-10-04,"145,831041","56,04 zł","321,76 zł","-265,72 zł","-82,58%"
Otwarta,Krypto,Krypto,XSWAP,,507,2024-10-04,"1028,010960","84,72 zł","197,80 zł","-113,07 zł","-57,17%"
Otwarta,Krypto,Krypto,BNB,,717,2024-10-04,"0,127288","389,73 zł","240,75 zł","148,98 zł","61,88%"
Otwarta,Krypto,Krypto,JLP,,655,2024-10-04,"22,021431","359,09 zł","237,22 zł","121,87 zł","51,37%"
Otwarta,Krypto,Krypto,LAI,,717,2024-10-07,"4341,724400","2,87 zł","263,08 zł","-260,21 zł","-98,91%"
Otwarta,Krypto,Krypto,STX,,587,2024-10-04,"32,115152","36,20 zł","210,61 zł","-174,41 zł","-82,81%"
Otwarta,Krypto,Krypto,EXD,,717,2024-09-06,"1802,230000","29,33 zł","255,23 zł","-225,90 zł","-88,51%"
Otwarta,Krypto,Krypto,SOIL,,686,2024-10-04,"55,817320","20,17 zł","230,92 zł","-210,75 zł","-91,26%"
Otwarta,Krypto,Krypto,AZERO,,563,2024-10-04,"89,463599","3,81 zł","174,03 zł","-170,22 zł","-97,81%"
Nieaktywna,Krypto,Krypto,FOREX,,717,2024-06-14,"5388,141100","10,52 zł","132,99 zł","-122,47 zł","-92,09%"
Nieaktywna,Krypto,Krypto,KAVA,,717,2024-01-06,"9,283358","3,84 zł","30,14 zł","-26,30 zł","-87,25%"
Nieaktywna,Krypto,Krypto,5IRE,,686,2024-04-14,"80,090420","0,14 zł","56,89 zł","-56,75 zł","-99,76%"
Otwarta,Gotówka,Gotówka,PLN,,380,2025-11-07,"1107,930000","1 107,93 zł","1 107,93 zł","0,00 zł","0,00%"
Zamknięta,IKE,ETF,NDIA.L,IE00BZCQB185,684,2024-10-03,"0,000000","1 021,45 zł","957,83 zł","63,62 zł","6,64%"
